time,theta,distance
0.0,135,4.15
0.0,135,4.15
0.01,135,4.15
0.01,135,4.15
0.01,135,3.91
0.02,135,2.4
0.04,135,2.4
0.06,135,2.7
0.08,135,2.81
0.09,135,2.81
0.11,135,3.26
0.13,135,3.64
0.15,135,5.44
0.17,135,5.39
0.18,135,5.1
0.2,135,5.44
0.22,135,6.09
0.24,135,5.03
0.25,135,3.52
0.27,135,4.39
0.29,135,3.81
0.31,135,4.22
0.32,135,4.52
0.34,135,5.03
0.36,135,5.92
0.38,135,6.7
0.4,135,7.63
0.41,135,7.97
0.43,135,10.1
0.45,135,26.1
0.47,135,25.31
0.49,135,25.36
0.51,135,16.9
0.52,135,15.2
0.54,135,14.72
0.56,135,15.15
0.58,135,15.62
0.6,135,16.51
0.62,135,17.37
0.64,135,17.9
0.65,135,19.33
0.67,135,24.85
0.69,135,21.61
0.71,135,22.97
0.73,135,21.79
0.75,135,18.97
0.77,135,19.04
0.79,135,18.67
0.81,135,19.31
0.82,135,19.67
0.84,135,20.21
0.86,135,20.88
0.88,135,20.6
0.9,135,21.01
0.92,135,20.55
0.94,135,20.57
0.95,135,20.55
0.97,135,21.03
0.99,135,19.81
1.01,135,20.32
1.03,135,20.57
1.05,135,20.55
1.07,135,21.03
1.09,135,20.15
1.11,135,20.15
1.12,135,20.45
1.14,135,20.15
1.16,135,20.15
1.18,135,20.55
1.2,135,20.45
1.22,135,20.55
1.24,135,20.55
1.25,135,20.91
1.27,135,20.32
1.29,135,21.03
1.31,135,20.3
1.33,135,20.47
1.35,135,20.15
1.37,135,20.57
1.38,135,20.47
1.4,135,20.15
1.42,135,20.55
1.44,135,21.03
1.46,135,20.45
1.48,135,21.01
1.5,135,20.55
1.52,135,21.03
1.53,135,20.55
1.55,135,20.55
1.57,135,20.32
1.59,135,20.2
1.61,135,20.55
1.63,135,20.55
1.65,135,20.55
1.67,135,20.55
1.68,135,20.15
1.7,135,20.57
1.72,135,20.45
1.74,135,20.57
1.76,135,20.55
1.78,135,20.15
1.8,135,20.45
1.82,135,20.55
1.84,135,20.15
1.85,135,20.47
1.87,135,20.55
1.89,135,20.3
1.91,135,20.15
1.93,135,20.45
1.95,135,20.15
1.97,135,21.03
1.98,135,20.45
2.0,135,20.15
2.02,135,20.15
2.04,135,20.15
2.06,135,20.47
2.08,135,20.55
2.1,135,20.55
2.12,135,20.57
2.13,135,20.15
2.15,135,20.32
2.17,135,20.55
2.19,135,19.79
2.21,135,20.55
2.23,135,20.57
2.25,135,20.15
2.27,135,20.55
2.28,135,20.55
2.3,135,20.55
2.32,135,20.04
2.34,135,20.55
2.36,135,20.57
2.38,135,20.55
2.4,135,20.04
2.41,135,20.57
2.43,135,20.15
2.45,135,19.81
2.47,135,19.91
2.49,135,20.15
2.51,135,20.15
2.53,135,20.04
2.55,135,20.57
2.57,135,20.15
2.58,135,20.15
2.6,135,20.57
2.62,135,20.15
2.64,135,20.16
2.66,135,20.04
2.68,135,20.15
2.7,135,20.15
2.71,135,20.55
2.73,135,19.91
2.75,135,20.15
2.77,135,19.89
2.79,135,20.04
2.81,135,20.15
2.83,135,20.15
2.85,135,20.15
2.86,135,20.15
2.88,135,20.15
2.9,135,20.15
2.92,135,20.45
2.94,135,20.15
2.96,135,20.15
2.98,135,20.15
2.99,135,20.91
3.01,135,20.13
3.03,135,20.3
3.05,135,20.2
3.07,135,20.15
3.09,135,20.55
3.11,135,20.55
3.13,135,20.03
3.14,135,20.55
3.16,135,20.55
3.18,135,20.47
3.2,135,20.55
3.22,135,20.55
3.24,135,20.15
3.26,135,20.45
3.28,135,21.01
3.3,135,21.01
3.31,135,20.77
3.33,135,20.55
3.35,135,20.3
3.37,135,20.55
3.39,135,20.91
3.41,135,20.55
3.43,135,20.55
3.44,135,20.15
3.46,135,20.55
3.48,135,20.55
3.5,135,21.01
3.52,135,20.45
3.54,135,21.03
3.56,135,20.15
3.58,135,20.55
3.59,135,20.45
3.61,135,19.89
3.63,135,20.15
3.65,135,20.04
3.67,135,20.15
3.69,135,20.15
3.71,135,20.15
3.72,135,20.45
3.74,135,20.15
3.76,135,20.15
3.78,135,20.15
3.8,135,20.15
3.82,135,20.15
3.84,135,20.55
3.86,135,20.04
3.88,135,20.15
3.89,135,20.15
3.91,135,19.89
3.93,135,19.89
3.95,135,20.15
3.97,135,20.15
3.99,135,20.04
4.01,135,20.55
4.03,135,20.13
4.04,135,20.15
4.06,135,20.15
4.08,135,20.15
4.1,135,20.15
4.12,135,20.45
4.14,135,20.15
4.16,135,20.15
4.18,135,20.55
4.19,135,19.79
4.21,135,20.55
4.23,135,20.32
4.25,135,20.45
4.27,135,20.55
4.29,135,20.15
4.31,135,20.15
4.32,135,20.45
4.34,135,20.55
4.36,135,20.55
4.38,135,20.5
4.4,135,20.55
4.42,135,20.55
4.44,135,20.55
4.45,135,20.45
4.47,135,20.55
4.49,135,20.32
4.51,135,20.3
4.53,135,20.55
4.55,135,20.55
4.57,135,20.15
4.59,135,20.04
4.61,135,20.55
4.62,135,20.55
4.64,135,20.55
4.66,135,20.55
4.68,135,20.57
4.7,135,20.55
4.72,135,20.45
4.74,135,20.55
4.76,135,20.55
4.77,135,20.32
4.79,135,20.45
4.81,135,20.3
4.83,135,20.55
4.85,135,20.45
4.87,135,20.55
4.89,135,20.55
4.91,135,20.55
4.92,135,20.47
4.94,135,20.55
4.96,135,20.55
4.98,135,20.5
5.0,135,20.55
5.02,135,20.55
